has_bite_dog:N,0
has_auto_insurance_coverage:N,3
is_non_smoking_household:Y,8
personal_liability,35351
property_losses_count,35348
farmers_identity_protection:N,10
personal_property_worth,35349
insurance_type:renters,2
age_group:old,18612
has_home_security:N,7
has_center_fire_burglar_alarm:N,5
has_local_fire_smoke_alarm:N,6
has_local_burglar_alarm:N,9
age_group:middle-age,1
age_group:young,8819
deductible,35352
unit_count,35347
has_fire_sprinkler_system:N,4
medical_payments,35350
